"";"ticker";"ref_date";"price_open";"price_high";"price_low";"price_close";"volume";"price_adjusted";"ret_adjusted_prices";"ret_closing_prices";"cumret_adjusted_prices"
"1";"AAPL";2013-12-31;19,791786;20,045713;19,785713;20,036428;223084400;17,66395;NA;NA;1
"2";"AAPL";2014-01-02;19,845715;19,893929;19,715;19,754642;234684800;17,415537;-0,0140632757678775;-0,0140636844052243;0,985936724232123
"3";"AAPL";2014-01-03;19,745001;19,775;19,301071;19,320715;392467600;17,032984;-0,0219661903046688;-0,0219658245388603;0,964279450519278
"4";"AAPL";2014-01-06;19,194643;19,52857;19,057142;19,426071;412610800;17,125868;0,00545318424534424;0,00545300730330123;0,969537844026959
"5";"AAPL";2014-01-07;19,440001;19,498571;19,21143;19,287144;317209200;17,003393;-0,0071514623375587;-0,00715157480892559;0,962604230650562
"6";"AAPL";2014-01-08;19,243214;19,484285;19,23893;19,409286;258529600;17,111071;0,00633273606038509;0,00633281941587627;0,968700149173882
"7";"AAPL";2014-01-09;19,52857;19,530714;19,119642;19,161428;279148800;16,892559;-0,0127702117535483;-0,0127700730464789;0,956329643143238
"8";"AAPL";2014-01-10;19,279642;19,314285;18,968214;19,033571;304976000;16,779844;-0,00667246448569447;-0,00667262377313438;0,949948567562748
"9";"AAPL";2014-01-13;18,925358;19,375;18,924286;19,133215;378492800;16,867685;0,00523491159989331;0,00523517105644555;0,954921464338384
"10";"AAPL";2014-01-14;19,222143;19,526072;19,202143;19,513929;332561600;17,20332;0,0198981069423576;0,0198980673138309;0,973922593757342
"11";"AAPL";2014-01-15;19,768572;20,007143;19,702143;19,905714;391638800;17,548717;0,0200773455356291;0,0200771971651634;0,993476374197164
"12";"AAPL";2014-01-16;19,817858;19,887501;19,702856;19,794643;229278000;17,450794;-0,00558006605269212;-0,00557985511094949;0,987932710407355
"13";"AAPL";2014-01-17;19,695715;19,716785;19,282143;19,309643;426739600;17,023218;-0,0245018077687467;-0,0245015785331415;0,963726573048497
"14";"AAPL";2014-01-21;19,321072;19,645357;19,300714;19,609644;328526800;17,287703;0,0155367216703681;0,0155363307338203;0,978699724580289
"15";"AAPL";2014-01-22;19,675358;19,903214;19,564644;19,696787;379985200;17,364527;0,00444385237298439;0,00444388485583946;0,983048921673805
"16";"AAPL";2014-01-23;19,640715;19,875;19,4575;19,863571;403239200;17,51156;0,0084674347881748;0,00846757392462028;0,991372824311663
"17";"AAPL";2014-01-24;19,785713;19,843571;19,455357;19,502501;429354800;17,193253;-0,0181769642453329;-0,018177496886134;0,973352675930355
"18";"AAPL";2014-01-27;19,645357;19,814285;19,491072;19,660713;554878800;17,332722;0,00811184480330751;0,0081123954307194;0,981248361776386
"19";"AAPL";2014-01-28;18,17;18,392857;17,93107;18,089287;1065523200;15,947367;-0,0799271458920301;-0,0799272132195817;0,90281998080837
"20";"AAPL";2014-01-29;17,998215;18,120358;17,807858;17,883928;502810000;15,766324;-0,0113525323647472;-0,0113525204171949;0,892570687756702
"21";"AAPL";2014-01-30;17,947857;18,089287;17,739286;17,849285;678501600;15,735782;-0,001937166837368;-0,00193710240837486;0,890841629420373
"22";"AAPL";2014-01-31;17,684999;17,911785;17,626785;17,878571;464797200;15,761603;0,00164090987025611;0,00164073799034536;0,892303420242924
"23";"AAPL";2014-02-03;17,950357;18,133215;17,832144;17,911785;401464000;15,790884;0,00185774251514914;0,00185775473889938;0,893961090243122
"24";"AAPL";2014-02-04;18,066071;18,195;17,955713;18,17107;376681200;16,019466;0,0144755670423518;0,0144756650439921;0,906901683938191
"25";"AAPL";2014-02-05;18,091429;18,402857;18,080357;18,306786;328344800;16,139112;0,00746878828545228;0,00746879517826948;0,913675140611245
"26";"AAPL";2014-02-06;18,216429;18,339287;18,13607;18,303928;257765200;16,233183;0,00582875935181559;-0,000156116972143572;0,919000733131604
"27";"AAPL";2014-02-07;18,620714;18,676071;18,477858;18,559999;370280400;16,460289;0,0139902322298713;0,0139899479499701;0,931857766807537
"28";"AAPL";2014-02-10;18,523571;18,999643;18,5;18,8925;345559200;16,755169;0,0179146307819991;0,0179149255342093;0,948551654641233
"29";"AAPL";2014-02-11;18,950357;19,205357;18,910713;19,14143;282256800;16,975941;0,0131763517276371;0,0131761280931588;0,961050104874618
"30";"AAPL";2014-02-12;19,176786;19,27;19,044287;19,139999;308100800;16,974672;-0,0000747528516974461;-0,0000747593048168183;0,960978263638654
