"";"ticker";"ref_date";"volume";"price_open";"price_high";"price_low";"price_close";"price_adjusted";"ret_adjusted_prices";"ret_closing_prices";"cumret_adjusted_prices"
"1";"AAPL";2013-12-02;7057397200;19,791786;20,540714;19,242857;20,036428;17,663948;NA;NA;1
"2";"AAPL";2014-01-02;8765954400;17,684999;20,007143;17,626785;17,878571;15,761599;-0,107696705175989;-0,107696691246563;0,892303294824011
"3";"AAPL";2014-02-03;5880366800;18,895714;19,685356;17,832144;18,794287;16,66807;0,0575113603638819;0,0512186348674064;0,943620871166514
"4";"AAPL";2014-03-03;5001698800;19,258215;19,607143;18,671785;19,169287;17,000641;0,0199525799927647;0,0199528718487698;0,962448542081306
"5";"AAPL";2014-04-01;6435060800;21,165714;21,408215;18,261786;21,074642;18,690447;0,0993966051044779;0,0993962373248416;1,05811265975194
"6";"AAPL";2014-05-01;5735668400;22,785;23,006071;20,72607;22,607143;20,161554;0,0787090324806037;0,0727177714335552;1,1413956834565
"7";"AAPL";2014-06-02;4827739200;23,025;23,762501;22,232143;23,2325;20,719263;0,0276620046252389;0,0276619208362596;1,1729689761315
"8";"AAPL";2014-07-01;4140344000;24,290001;24,860001;23,1425;23,9;21,314556;0,0287313791035906;0,0287313031313892;1,20666999246148
"9";"AAPL";2014-08-01;3748308000;25,715;25,725;23,32;25,625;22,966619;0,0775086752921337;0,0721757322175733;1,30019738509194
"10";"AAPL";2014-09-02;6105680000;25,202499;25,934999;24,035;25,1875;22,574511;-0,017072952705838;-0,0170731707317073;1,27799917662801
"11";"AAPL";2014-10-01;5441120800;27,002501;27,01;23,795;27;24,198977;0,0719601855384597;0,0719602977667493;1,36996423449616
"12";"AAPL";2014-11-03;3281632800;29,817499;29,9375;26,93;29,7325;26,763557;0,105978860180742;0,101203703703704;1,51515148255645
"13";"AAPL";2014-12-01;4294378400;28,205;29,8125;26,565001;27,594999;24,839483;-0,0718915650860608;-0,0718910619692256;1,406224871133
"14";"AAPL";2015-01-02;5221053600;29,6;30;26,157499;29,290001;26,365238;0,061424587621248;0,0614242457482965;1,49260165394509
"15";"AAPL";2015-02-02;4546140800;32,5;33,400002;29,02;32,115002;29,022238;0,100776636266284;0,0964493309508592;1,64302102791516
